,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-01-18,132.95517840000002,127.11782179593904,138.69788801393793,132.95517840000002,132.95517840000002,-0.2819251026901935,-0.2819251026901935,-0.2819251026901935,-0.2819251026901935,-0.2819251026901935,-0.2819251026901935,0.0,0.0,0.0,132.67325329730983
1,2024-01-19,133.28409121273972,127.44814136940056,139.43683366964544,133.28409121273972,133.28409121273972,0.08475579026694441,0.08475579026694441,0.08475579026694441,0.08475579026694441,0.08475579026694441,0.08475579026694441,0.0,0.0,0.0,133.36884700300666
2,2024-01-20,133.61300402547946,129.36645674888518,141.94991492900365,133.61300402547946,133.61300402547946,2.0030069329770104,2.0030069329770104,2.0030069329770104,2.0030069329770104,2.0030069329770104,2.0030069329770104,0.0,0.0,0.0,135.61601095845646
3,2024-01-23,134.59974246369865,128.46884564109124,140.41992227861653,134.59974246369865,134.59974246369865,-0.21071886519675195,-0.21071886519675195,-0.21071886519675195,-0.21071886519675195,-0.21071886519675195,-0.21071886519675195,0.0,0.0,0.0,134.3890235985019
4,2024-01-24,134.92865527643838,128.46621105621637,140.02804664020718,134.92865527643838,134.92865527643838,-0.5567098169724386,-0.5567098169724386,-0.5567098169724386,-0.5567098169724386,-0.5567098169724386,-0.5567098169724386,0.0,0.0,0.0,134.37194545946593
5,2024-01-25,135.25756808917808,129.0027824319942,140.79895747669852,135.25756808917808,135.25756808917808,-0.2819251026941856,-0.2819251026941856,-0.2819251026941856,-0.2819251026941856,-0.2819251026941856,-0.2819251026941856,0.0,0.0,0.0,134.9756429864839
6,2024-01-29,136.573219340137,131.3243959711355,142.96339748124225,136.573219340137,136.573219340137,0.23350751598416883,0.23350751598416883,0.23350751598416883,0.23350751598416883,0.23350751598416883,0.23350751598416883,0.0,0.0,0.0,136.80672685612117
7,2024-01-30,136.9021321528767,130.64254533379736,142.4957421147395,136.9021321528767,136.9021321528767,-0.2107188652015262,-0.2107188652015262,-0.2107188652015262,-0.2107188652015262,-0.2107188652015262,-0.2107188652015262,0.0,0.0,0.0,136.69141328767518
8,2024-01-31,137.23104496561646,130.81950639665718,142.65097230885226,137.23104496561646,137.23104496561646,-0.5567098169747279,-0.5567098169747279,-0.5567098169747279,-0.5567098169747279,-0.5567098169747279,-0.5567098169747279,0.0,0.0,0.0,136.67433514864175
9,2024-02-01,137.55995779892893,131.21149436488676,143.09175763558773,137.55995779892893,137.55995779892893,-0.281925102683802,-0.281925102683802,-0.281925102683802,-0.281925102683802,-0.281925102683802,-0.281925102683802,0.0,0.0,0.0,137.27803269624513
10,2024-02-02,137.88887063224144,132.21701162843218,143.92068966922685,137.88887063224144,137.88887063224144,0.08475579026720453,0.08475579026720453,0.08475579026720453,0.08475579026720453,0.08475579026720453,0.08475579026720453,0.0,0.0,0.0,137.97362642250863
11,2024-02-05,138.8756091321789,132.6642062605247,144.79495964564478,138.8756091321789,138.8756091321789,0.233507515988121,0.233507515988121,0.233507515988121,0.233507515988121,0.233507515988121,0.233507515988121,0.0,0.0,0.0,139.10911664816703
12,2024-02-06,139.20452196549138,132.83517365966136,144.89541470076566,139.20452196549138,139.20452196549138,-0.21071886520009112,-0.21071886520009112,-0.21071886520009112,-0.21071886520009112,-0.21071886520009112,-0.21071886520009112,0.0,0.0,0.0,138.9938031002913
13,2024-02-07,139.53343479880388,133.3009401915589,144.94566164207689,139.53343479880388,139.53343479880388,-0.5567098169770174,-0.5567098169770174,-0.5567098169770174,-0.5567098169770174,-0.5567098169770174,-0.5567098169770174,0.0,0.0,0.0,138.97672498182686
14,2024-02-08,139.86234763211638,133.52835499942285,145.66927813422484,139.86234763211638,139.86234763211638,-0.2819251026877941,-0.2819251026877941,-0.2819251026877941,-0.2819251026877941,-0.2819251026877941,-0.2819251026877941,0.0,0.0,0.0,139.58042252942857
15,2024-02-09,140.19126046542885,134.3277308949145,146.62563337324698,140.19126046542885,140.19126046542885,0.08475579026144799,0.08475579026144799,0.08475579026144799,0.08475579026144799,0.08475579026144799,0.08475579026144799,0.0,0.0,0.0,140.2760162556903
16,2024-02-12,141.1779989653663,135.4984511869092,147.09426836234988,141.1779989653663,141.1779989653663,0.23350751598332442,0.23350751598332442,0.23350751598332442,0.23350751598332442,0.23350751598332442,0.23350751598332442,0.0,0.0,0.0,141.41150648134962
17,2024-02-13,141.5069118102387,135.26407916064193,147.13438020447296,141.5069118102387,141.5069118102387,-0.21071886519865593,-0.21071886519865593,-0.21071886519865593,-0.21071886519865593,-0.21071886519865593,-0.21071886519865593,0.0,0.0,0.0,141.29619294504005
18,2024-02-14,141.83582465511114,135.4422576418355,147.50772128534484,141.83582465511114,141.83582465511114,-0.5567098169724917,-0.5567098169724917,-0.5567098169724917,-0.5567098169724917,-0.5567098169724917,-0.5567098169724917,0.0,0.0,0.0,141.27911483813864
19,2024-02-15,142.16473749998354,136.0095298560225,147.71571099155304,142.16473749998354,142.16473749998354,-0.28192510268571586,-0.28192510268571586,-0.28192510268571586,-0.28192510268571586,-0.28192510268571586,-0.28192510268571586,0.0,0.0,0.0,141.88281239729784
20,2024-02-16,142.49365034485598,136.514943804408,148.53593088813753,142.49365034485598,142.49365034485598,0.08475579026570199,0.08475579026570199,0.08475579026570199,0.08475579026570199,0.08475579026570199,0.08475579026570199,0.0,0.0,0.0,142.57840613512167
21,2024-02-19,143.48038887947322,138.08502041673336,149.47813057367316,143.48038887947322,143.48038887947322,0.2335075159872764,0.2335075159872764,0.2335075159872764,0.2335075159872764,0.2335075159872764,0.2335075159872764,0.0,0.0,0.0,143.7138963954605
22,2024-02-20,143.80930172434563,138.542763442447,149.75230911240033,143.80930172434563,143.80930172434563,-0.21071886519733987,-0.21071886519733987,-0.21071886519733987,-0.21071886519733987,-0.21071886519733987,-0.21071886519733987,0.0,0.0,0.0,143.59858285914828
23,2024-02-21,144.13821456921804,138.23957237311146,149.56731623604043,144.13821456921804,144.13821456921804,-0.5567098169679662,-0.5567098169679662,-0.5567098169679662,-0.5567098169679662,-0.5567098169679662,-0.5567098169679662,0.0,0.0,0.0,143.58150475225008
24,2024-02-22,144.46712741409047,138.81217730856392,150.16076303653628,144.46712741409047,144.46712741409047,-0.28192510268970794,-0.28192510268970794,-0.28192510268970794,-0.28192510268970794,-0.28192510268970794,-0.28192510268970794,0.0,0.0,0.0,144.18520231140076
25,2024-02-23,144.79604025283314,138.7807364541964,150.65154620111855,144.79604025283314,144.79604025283314,0.08475579026170842,0.08475579026170842,0.08475579026170842,0.08475579026170842,0.08475579026170842,0.08475579026170842,0.0,0.0,0.0,144.88079604309485
26,2024-02-26,145.7827787690611,140.0967647583613,151.48231142872038,145.7827787690611,145.7827787690611,0.2335075159868542,0.2335075159868542,0.2335075159868542,0.2335075159868542,0.2335075159868542,0.2335075159868542,0.0,0.0,0.0,146.01628628504795
27,2024-02-27,146.11169160780378,140.13819811691684,151.87243209487264,146.11169160780378,146.11169160780378,-0.21071886520211433,-0.21071886520211433,-0.21071886520211433,-0.21071886520211433,-0.21071886520211433,-0.21071886520211433,0.0,0.0,0.0,145.90097274260165
28,2024-02-28,146.44060444654644,140.19123511208397,151.54557561860977,146.44060444654644,146.44060444654644,-0.5567098169730059,-0.5567098169730059,-0.5567098169730059,-0.5567098169730059,-0.5567098169730059,-0.5567098169730059,0.0,0.0,0.0,145.88389462957343
29,2024-02-29,146.76951728528908,140.34281271917465,152.07411464051765,146.76951728528908,146.76951728528908,-0.28192510268762955,-0.28192510268762955,-0.28192510268762955,-0.28192510268762955,-0.28192510268762955,-0.28192510268762955,0.0,0.0,0.0,146.48759218260145
30,2024-03-01,147.09843012403175,141.03206012834363,153.00140074838683,147.09843012403175,147.09843012403175,0.08475579026596226,0.08475579026596226,0.08475579026596226,0.08475579026596226,0.08475579026596226,0.08475579026596226,0.0,0.0,0.0,147.18318591429772
31,2024-03-02,147.42734296277442,144.02361582056824,155.53159586260813,147.42734296277442,147.42734296277442,2.0030069329757723,2.0030069329757723,2.0030069329757723,2.0030069329757723,2.0030069329757723,2.0030069329757723,0.0,0.0,0.0,149.4303498957502
